DateTime,AddedIPs,RemovedIPs
1570201823,0,1
1570221030,0,1
1570231826,0,1
1570286726,0,1
1570293625,0,1
1570383623,0,1
1570397126,0,2
1570424125,0,1
1570466426,0,1
1570467029,0,1
1570572321,0,1
1570593626,0,1
1570611025,0,1
1570687224,0,1
1570749328,0,1
1570767922,0,1
1570803330,1,0
1570811431,0,1
1570884926,1,0
1571000725,0,1
1571071229,0,1
1571071530,0,1
1571167827,0,2
1571169323,0,1
1571183426,0,1
1571316630,0,1
1571437226,0,6
1571459423,0,1
1571537726,0,1
1571578831,0,1
1571685027,12,0
1571770228,0,1
1571838628,0,2
1571840136,0,1
1571840428,0,1
1571842834,0,1
1571853931,0,1
1571888425,0,100
1571888725,0,447
1571889923,0,4
1571929239,0,1
1571948725,0,1
1571977227,0,3
1572018646,0,1
1572090932,0,1
1572104734,0,1
1572156037,0,1
1572156333,0,2
1572157235,0,1
1572158134,0,1
1572183933,514,0
1572196836,0,1
1572210933,1,0
1572251446,0,1
1572298231,0,1
1572298834,0,1
1572302432,0,2
1572364833,0,2
1572385826,0,1
1572440732,0,1
1572441333,0,1
1572441631,0,1
1572468329,0,3
1572471626,0,1
1572640228,0,1
1572704725,0,1
1572715525,0,2
1572715825,0,2
1572716423,0,2
1572720925,0,1
1572730224,0,1
1572740123,0,1
1572747926,0,1
1572754826,0,1
1572805227,1,0
1572819924,0,1
1573105827,0,2
1573154731,0,1
1573155629,1,0
1573162522,2,0
1573190725,0,1
1573191028,0,1
1573191623,0,1
1573253722,0,3
1573254024,0,1
1573332923,99,0
1573333523,64,0
1573334424,0,1
1573428922,0,1
1573429524,0,1
1573534229,0,1
1573663527,0,2
1573663826,0,2
1573664125,0,3
1573665629,1,0
1573668028,2,1
1573668625,5,0
1573746329,0,1
1573766430,0,1
1573817724,0,1
1573818028,0,3
1573859426,3,0
1573860923,3,0
1573882521,0,2
1574050825,0,2
1574110828,0,3
1574119825,0,1
1574145031,1,0
1574164226,0,1
1574186125,0,2
1574190930,1,0
1574191228,1,1
1574192130,1,0
1574200231,3,0
1574258427,0,1
1574300724,0,2
1574310623,0,1
1574394026,0,4
1574556023,0,1
1574568922,0,1
1574674835,1,0
1574754627,20,0
1574784330,0,1
1574786428,0,1
1574800225,0,1
1574880925,0,1
1574916025,0,1
1575047425,0,1
1575048324,0,1
1575158723,0,2
1575161720,0,2
1575306930,0,2
1575316527,0,2
1575316829,0,1
1575317125,0,1
1575318922,0,1
1575411024,0,2
1575489029,0,1
1575566126,0,1
1575648323,0,1
1575698125,7,0
1575700228,0,1
1575700525,0,1
1575701129,0,1
1575749723,0,1
1575853524,0,1
1576116023,0,1
1576116622,0,4
1576121423,0,1
1576124128,0,1
1576170331,15,0
1576192222,0,1
1576227924,0,1
1576266327,0,1
1576340427,0,2
1576439424,0,1
1576441828,1,0
1576454121,0,1
1576467622,0,1
1576565722,0,1
1576566324,0,1
1576602027,0,2
1576602324,0,2
1576643421,0,1
1576699226,0,1
1576727426,0,1
1576821026,1,0
1576825522,0,1
1576849528,0,1
1576869625,0,1
1576872028,0,82
1576888822,0,1
1576939830,0,1
1576969522,0,2
1576975221,0,1
1577041823,0,1
1577050824,0,1
1577051423,0,1
1577056821,1,0
1577142621,1,0
1577142924,2,0
1577143223,1,0
1577282425,3,0
1577375429,0,4
1577591127,0,1
1577630725,0,1
1577647224,1,0
1577659222,0,3
1577675121,0,1
1577738726,0,2
1577743230,0,1
1577775627,0,1
1577840121,0,1
1577892624,0,1
1577971824,1,0
1577976628,0,1
1577988028,0,3
1578026724,0,2
1578069623,0,1
1578077429,0,1
1578126325,0,1
1578334828,0,1
1578346522,1,0
1578420623,0,1
1578423022,0,1
1578423925,0,1
1578448520,0,2
1578523223,1,0
1578585324,0,1
1578680128,1,0
1578680726,0,4
1578780323,0,1
1578791122,1,0
1578806726,1,0
1578826825,1,0
1578972629,1,0
1579051523,0,2
1579107925,0,1
1579150521,0,1
1579199128,0,1
1579212026,0,1
1579247722,0,1
1579248025,0,1
1579277125,0,2
1579373425,0,1
1579462827,0,1
1579482026,0,1
1579635327,0,1
1579636829,0,1
1579679125,0,1
1579735221,0,1
1579749023,0,1
1579823723,0,7
1579890925,1,0
